Date,Close
18-Dec-18,41.52
19-Dec-18,40.22
20-Dec-18,39.21
21-Dec-18,37.68
24-Dec-18,36.71
26-Dec-18,39.29
27-Dec-18,39.04
28-Dec-18,39.06
31-Dec-18,39.44
2-Jan-19,39.48
3-Jan-19,35.55
4-Jan-19,37.07
7-Jan-19,36.98
8-Jan-19,37.69
9-Jan-19,38.33
10-Jan-19,38.45
11-Jan-19,38.07
14-Jan-19,37.5
15-Jan-19,38.27
16-Jan-19,38.74
17-Jan-19,38.97
18-Jan-19,39.21
22-Jan-19,38.33
23-Jan-19,38.48
24-Jan-19,38.17
25-Jan-19,39.44
28-Jan-19,39.08
29-Jan-19,38.67
30-Jan-19,41.31
31-Jan-19,41.61
1-Feb-19,41.63
4-Feb-19,42.81
5-Feb-19,43.55
6-Feb-19,43.56
7-Feb-19,42.74
8-Feb-19,42.6
11-Feb-19,42.36
12-Feb-19,42.72
13-Feb-19,42.55
14-Feb-19,42.7
15-Feb-19,42.61
19-Feb-19,42.73
20-Feb-19,43.01
21-Feb-19,42.77
22-Feb-19,43.24
25-Feb-19,43.56
26-Feb-19,43.58
27-Feb-19,43.72
28-Feb-19,43.29
1-Mar-19,43.74
4-Mar-19,43.96
5-Mar-19,43.88
6-Mar-19,43.63
7-Mar-19,43.13
8-Mar-19,43.23
11-Mar-19,44.73
12-Mar-19,45.23
13-Mar-19,45.43
14-Mar-19,45.93
15-Mar-19,46.53
18-Mar-19,47.01
19-Mar-19,46.63
20-Mar-19,47.04
21-Mar-19,48.77
22-Mar-19,47.76
25-Mar-19,47.19
26-Mar-19,46.7
27-Mar-19,47.12
28-Mar-19,47.18
29-Mar-19,47.49
1-Apr-19,47.81
2-Apr-19,48.51
3-Apr-19,48.84
4-Apr-19,48.92
5-Apr-19,49.25
8-Apr-19,50.03
9-Apr-19,49.88
10-Apr-19,50.16
11-Apr-19,49.74
12-Apr-19,49.72
15-Apr-19,49.81
16-Apr-19,49.81
17-Apr-19,50.78
18-Apr-19,50.97
22-Apr-19,51.13
23-Apr-19,51.87
24-Apr-19,51.79
25-Apr-19,51.32
26-Apr-19,51.08
29-Apr-19,51.15
30-Apr-19,50.17
1-May-19,52.63
2-May-19,52.29
3-May-19,52.94
6-May-19,52.12
7-May-19,50.72
8-May-19,50.73
9-May-19,50.18
10-May-19,49.3
